time,eeg-ch1,eeg-ch2,eeg-ch3,eeg-ch4,eeg-ch5,eeg-ch6,gyro-gyro1,gyro-gyro2,gyro-gyro3,acc-acc1,acc-acc2,acc-acc3,ppg-ambient,ppg-ir,ppg-red
5.10546875,441.23369192034784,441.6365300984206,1650.0,1392.5108720531016,0.0,0.0,21594.763598573172,-1664765.2672200014,6520.233628745104,88187.3032372857,59036.0544611988,971551.971536809,33748517648.71693,23894607653.08875,75238798.2113288
5.109375,1537.9606317235066,1538.7663080796522,678.1528953994048,244.19546807049664,0.0,0.0,18590.911145577822,-1644939.8723413053,13847.108747593096,87478.0404860977,59674.12535484169,969863.1695855886,33751529106.584274,23888218173.49509,81921187.15192191
5.11328125,992.4170290684367,992.8198672465095,603.1998168917373,662.4422064545663,0.0,0.0,15200.943829361271,-1632565.429622742,15223.624499864889,87096.14216390194,61505.68584749971,968436.9221960341,33763776603.844475,23876678427.84704,85529409.91657841
5.1171875,0.0,0.0,1618.1506065461203,1650.0,0.0,0.0,12826.798886263512,-1629355.6223007594,10336.813364390988,87302.63206832611,63935.844183124034,967546.420555748,33779517980.223362,23864777819.765675,83631011.89526586
5.12109375,231.30464637216753,231.30464637216753,1650.0,1588.3405813687343,0.0,0.0,12167.63346585534,-1634386.9840431972,1421.0748842736496,88180.67234746249,66229.8728586627,967358.3942091144,33792962275.646496,23856976162.14339,76103063.18585083
5.125,1379.2172121766991,1379.6200503547723,844.5250629434654,522.2041657129778,0.0,0.0,13046.846636280674,-1644573.7607176015,-7839.957156136958,89589.25825882592,67768.78567168274,967891.9410997028,33800681818.875427,23855449698.63434,65536949.72151425
5.12890625,1650.0,1650.0,0.0,0.0,0.0,0.0,14532.672326048703,-1655841.8751530908,-13946.795995174109,91194.42673053282,68254.40163680275,969010.5393922513,33802597860.706394,23859373392.693977,56282247.21299849
5.1328125,1650.0,1650.0,0.0,0.0,0.0,0.0,15277.969727455731,-1664562.5435075264,-15090.567842864952,92570.40584575778,67789.3173286594,970449.5791573998,33801255097.50207,23865658116.922485,52481511.06740334
5.13671875,0.0,0.0,1538.3634699015793,1650.0,0.0,0.0,13955.00779122183,-1668728.6858660714,-11934.096719058452,93337.26144727618,66805.10168508695,971873.8232075188,33799936159.082775,23870642100.392754,56032434.34973128
5.140625,961.3733119707027,961.3733119707027,441.6365300984206,682.5841153582055,0.0,0.0,9656.89183174445,-1668467.6693418408,-7361.871134247414,93287.21474983412,65869.96328906299,972952.6196995102,33800681818.875427,23871833936.06467,65536949.72151425
5.14453125,35.474937056534706,35.474937056534706,1650.0,1650.0,0.0,0.0,2168.1564175922513,-1665739.0907391103,-5299.982458622875,92454.61174588201,65452.878235763375,973436.5839830892,33803249748.158363,23868887718.032116,76851099.28745222
5.1484375,1101.2085145342185,1101.6113527122911,992.4170290684367,762.346074616617,0.0,0.0,-7945.944418454247,-1663370.8400916394,-9071.27067593873,91103.92973536302,65737.05683022944,973218.5186722935,33805505618.193607,23863463679.140995,85037561.73075667
5.15234375,1650.0,1650.0,0.0,0.0,0.0,0.0,-19436.173948249914,-1663827.8943254447,-19933.576965864115,89639.38190285685,66555.47654329787,972363.8143541113,33804975825.86405,23858206042.73747,86765765.06828204
5.15625,940.8285648889906,943.6484321355001,231.30464637216753,586.6834515907531,0.0,0.0,-30621.8056215874,-1668197.6460846614,-36381.71343274647,88467.99343325412,67472.75927300965,971101.3179391266,33800681818.875435,23855449698.634327,81921187.15192191
5.16015625,0.0,0.0,1650.0,1650.0,0.0,0.0,-39745.189068860236,-1675781.322301225,-54503.56818879208,87864.95968021709,67979.69111693946,969773.9897382291,33794220555.9125,23856286793.25324,73558352.88013183
5.1640625,858.6243991760127,891.2794689860381,961.3733119707027,916.6582742046234,0.0,0.0,-45359.19368225789,-1684439.922967257,-69279.05757511395,87889.23256082438,67721.7534882989,968758.2361649696,33789429565.92443,23860331852.29244,66192149.506573625
5.16796875,1650.0,1650.0,0.0,0.0,0.0,0.0,-46668.364502582495,-1691546.7290208777,-76350.2250390081,88378.7666604093,66668.80003014691,968369.5621018391,33790695831.05862,23866124850.527473,63322607.60399094
5.171875,1102.4170290684367,1101.6113527122911,35.474937056534706,432.3460746166171,0.0,0.0,-43742.92720521681,-1695159.2622580738,-73607.80928413745,89025.45781737944,65155.28385588367,968777.7067888745,33800681818.875427,23871833936.064682,65536949.72151425
5.17578125,42.32318608377204,35.474937056534706,1101.6113527122911,1543.6255436026552,0.0,0.0,-37538.43205700343,-1694932.9978525874,-62002.37769753574,89500.43640817382,63770.83555633946,969954.5309293082,33818593848.524944,23875884279.356808,70261311.80910514
5.1796875,0.0,0.0,1650.0,1650.0,0.0,0.0,-29689.255075542016,-1692393.0272904125,-45272.10545617704,89582.01826521507,63140.090081968985,971671.5185588057,33839921885.18744,23877307923.944298,73358212.13023141
5.18359375,716.4225223163195,785.7358663309682,941.2314030670634,992.4170290684367,0.0,0.0,-22100.640045261312,-1690424.7367727372,-28677.27835227398,89238.17216314467,63675.45086379611,973551.5619707144,33857913568.641262,23875830779.329987,71738433.33146495
5.1875,1650.0,1650.0,0.0,0.0,0.0,0.0,-16429.485416230145,-1692149.3510614638,-17194.85876316438,88633.01470084129,65399.28245178295,975164.4787753606,33866218768.59694,23871833936.064674,65536949.72151423
5.19140625,1263.1746395056077,1213.222705424582,0.0,231.30464637216753,0.0,0.0,-13596.84090884997,-1699599.7807839825,-13820.800963237274,88055.93444865044,67907.40654203013,976141.7926067039,33861551960.358704,23866290606.223953,58555011.810034454
5.1953125,126.54154268711373,105.16594186312658,859.4300755321583,1379.6200503547723,0.0,0.0,-13490.844112984498,-1712710.2694399795,-18583.463374485906,87801.46847606359,70492.77965480647,976278.3618060827,33845162362.226025,23860653528.454533,56553177.26558301
5.19921875,0.0,0.0,1379.6200503547723,1609.2881666285193,0.0,0.0,-14981.758990196142,-1729038.6669845665,-28608.040214282024,88046.80376973699,72386.9945356905,975589.8632018309,33822419774.11908,23856582082.13092,64150496.01073049
5.203125,0.0,0.0,1650.0,1650.0,0.0,0.0,-16282.909413413698,-1744382.9667986576,-39189.56566757323,88774.6171845489,73031.31666547897,974306.6166456267,33800681818.875427,23855449698.634335,81921187.1519219
5.20703125,646.3035019455252,633.8155184252689,1087.4868390936142,961.3733119707027,0.0,0.0,-15575.823984259356,-1754125.5665211577,-45472.745358283646,89771.56245778875,72276.2177669551,972803.0688823565,33786398608.155106,23857746408.270855,105308593.42486079
5.2109375,1650.0,1650.0,37.89196612497141,0.0,0.0,0.0,-11713.635772268923,-1754859.4471658703,-44131.08252189531,90703.67514268207,70434.05772862588,971482.8466843809,33782750939.045654,23862666535.61795,126133816.74613363
5.21484375,0.0,0.0,1650.0,1650.0,0.0,0.0,-4764.836699161012,-1745724.4901995119,-34456.42032223856,91240.36233483398,68164.212041569,970654.7954389245,33788839673.572422,23868197707.640163,136162262.89341468
5.21875,674.5273517967498,662.4422064545663,1241.8242160677498,941.2314030670634,0.0,0.0,3813.0832733817583,-1728959.660662281,-18499.881640561198,91179.78376340636,66232.8711396891,970440.0781959774,33800681818.875446,23871833936.064686,131073899.4430285
5.22265625,1495.2597848477913,1392.5108720531016,0.0,35.474937056534706,0.0,0.0,11473.664842264912,-1709434.6214919453,-256.08454046804445,90527.5516919435,65236.97316378567,970741.746453551,33813399848.343315,23871695378.35947,112857904.59739311
5.2265625,1650.0,1650.0,110.42801556420237,0.0,0.0,0.0,15302.616858956786,-1693273.5673178579,15777.094136732878,89498.17097814474,65395.18634602535,971288.2471750661,33823448421.555824,23867540470.529087,89326774.13213722
5.23046875,1650.0,1588.3405813687343,0.0,0.0,0.0,0.0,12954.498172019394,-1686001.605757247,26124.138679982745,88437.88912334945,66483.30562175882,971737.3302649432,33829777605.483,23861102072.559937,70816481.17920512
5.234375,379.1714351110094,244.19546807049664,699.9061570153353,1101.6113527122911,0.0,0.0,3505.7629865482195,-1690816.9459379148,29400.229448019796,87697.51344077867,67936.55279299544,971805.2762094063,33833450293.736206,23855449698.634327,65536949.72151423
5.23828125,649.5262073701076,522.2041657129778,639.4552529182879,858.6243991760127,0.0,0.0,-12070.23015926669,-1707558.4260465316,26571.673722678515,87502.89976261066,69077.98469995352,971376.1405165044,33836087551.63745,23853569856.090233,75756461.33660291
5.2421875,0.0,0.0,1650.0,1650.0,0.0,0.0,-30991.984214359098,-1732708.6722960663,20366.66983998254,87871.92070798254,69384.6646769198,970551.1098485664,33838154900.611465,23856813511.20038,96665760.61025852
5.24609375,657.9858091096361,682.5841153582055,1440.4737926298926,1101.6113527122911,0.0,0.0,-49328.07946761081,-1760428.6103886347,14102.25205482157,88609.33662176081,68689.56189642064,969617.9969531057,33838179350.020424,23864016920.54094,118517240.00362784
5.25,1639.9038681620507,1650.0,307.0382238498512,43.93453879606317,0.0,0.0,-63039.59347812607,-1784279.330498371,10387.689908193794,89381.69877066702,67242.46239506685,968948.94039699,33833450293.736183,23871833936.06469,131073899.4430285
5.25390625,818.3657587548638,765.1659418631266,665.2620737010758,701.1146715495537,0.0,0.0,-69087.1127424871,-1799069.4546989887,10181.117975318632,89844.30450859509,65607.71420526615,968860.7845367175,33821886801.439003,23876227467.676132,128293584.9162364
5.2578125,0.0,0.0,1650.0,1650.0,0.0,0.0,-66254.36493736546,-1802242.5083645105,12518.832044147053,89772.67665200302,64439.42209897878,969487.7349778835,33804020236.201023,23874449187.066525,111058601.8808418
